processes,vertices,delta,enable_ios,enable_push_pull_pruning,enable_hybridization,hybridization_tau,enable_load_balancing,elapsed_time
96,524288,25,0,0,1,0.4,0,0.702903
96,131072,25,0,0,1,0.4,0,0.0864532
48,2097152,25,0,0,1,0.4,0,4.40557
96,1024,25,0,0,1,0.4,0,0.0280442
72,32768,25,0,0,1,0.4,0,0.0430536
24,1048576,25,0,0,1,0.4,0,2.29866
24,1048576,25,0,0,1,0.4,0,1.12847
48,32768,25,0,0,1,0.4,0,0.0661607
48,524288,25,0,0,1,0.4,0,0.324181
48,1048576,25,0,0,1,0.4,0,0.773059
96,1048576,25,0,0,1,0.4,0,1.51787
48,524288,25,0,0,1,0.4,0,0.853287
48,1048576,25,0,0,1,0.4,0,1.82364
72,1048576,25,0,0,1,0.4,0,0.635473
72,262144,25,0,0,1,0.4,0,0.344396
96,16384,25,0,0,1,0.4,0,0.0552082
72,65536,25,0,0,1,0.4,0,0.0603585
24,131072,25,0,0,1,0.4,0,0.244581
96,65536,25,0,0,1,0.4,0,0.106238
24,131072,25,0,0,1,0.4,0,0.104867
96,2097152,25,0,0,1,0.4,0,1.25661
48,16384,25,0,0,1,0.4,0,0.0479243
24,2048,25,0,0,1,0.4,0,0.0231774
96,524288,25,0,0,1,0.4,0,0.241607
24,16384,25,0,0,1,0.4,0,0.0338507
96,4096,25,0,0,1,0.4,0,0.0320029
72,131072,25,0,0,1,0.4,0,0.0784593
72,2097152,25,0,0,1,0.4,0,1.33337
96,8192,25,0,0,1,0.4,0,0.0281911
72,1024,25,0,0,1,0.4,0,0.0271366
24,524288,25,0,0,1,0.4,0,1.05278
48,8192,25,0,0,1,0.4,0,0.0297453
48,32768,25,0,0,1,0.4,0,0.0415752
48,1024,25,0,0,1,0.4,0,0.0218778
72,4194304,25,0,0,1,0.4,0,3.22122
96,262144,25,0,0,1,0.4,0,0.141302
48,262144,25,0,0,1,0.4,0,0.169643
72,524288,25,0,0,1,0.4,0,0.268436
48,131072,25,0,0,1,0.4,0,0.084686
72,131072,25,0,0,1,0.4,0,0.178443
72,32768,25,0,0,1,0.4,0,0.0703757
